"te","meaning","language","item","ipa","xsampa","lv","n_phon","n_syll","syll","freq","freq_syll","list"
115,"witch","Catalan","bruixa","ˈbɾu.ʃə","""b4u.S@",0.6,5,2,"b4u, S@",6.23320284831202,12.998986706407,"A, B, C, D"
115,"witch","Spanish","bruja","ˈbɾu.xa","""b4u.xa",0.6,5,2,"b4u, xa",6.23320284831202,13.4001074495982,"A, B, C, D"
148,"bee","Catalan","abella","əˈβɛ.ʎə","@""BE.L@",0.2,5,3,"@, BE, L@",6.08712760358779,20.4797401521933,"A, B, C, D"
148,"bee","Spanish","abeja","aˈβe.xa","a""Be.xa",0.2,5,3,"a, Be, xa",6.08712760358779,21.3603568496327,"A, B, C, D"
149,"animal","Catalan","animals","ˈæn.ɪ.məlz","""{n.I.m@lz",0.25,8,3,"{n, I, m@lz",5.90298958058641,17.7089687417592,"D"
149,"animal","Spanish","animales","a.niˈma.les","a.ni""ma.les",0.25,8,4,"a, ni, ma, les",5.90298958058641,27.6950403237839,"D"
150,"spider","Catalan","aranya","əˈɾa.ɲə","@""4a.J@",0.6,5,3,"@, 4a, J@",6.04167371797767,19.548553096976,"A"
150,"spider","Spanish","arana","aˈɾa.ɲa","a""4a.Ja",0.6,5,3,"a, 4a, Ja",6.04167371797767,21.3129455218066,"A"
153,"owl","Catalan","mussol","muˈsɔɫ","mu""sO5",0.2,5,2,"mu, sO5",5.9457279408415,12.5707732955393,"A, B, C, D"
153,"owl","Spanish","buho","ˈbu.o","""bu.o",0.2,3,2,"bu, o",5.9457279408415,13.6018749285618,"A, B, C, D"
154,"donkey","Catalan","ruc","ruk","ruk",0.25,3,1,"ruk",6.05630482548482,6.05630482548482,"A"
154,"donkey","Spanish","burro","ˈbu.ro","""bu.ro",0.25,4,2,"bu, ro",6.05630482548482,13.4213370724007,"A"
159,"snail","Catalan","cargol","kərˈɡɔl","k@r""gOl",0.285714285714286,6,2,"k@r, gOl",5.83837764687003,11.6767552937401,"A, B, C, D"
159,"snail","Spanish","caracol","ka.ɾaˈkol","ka.4a""kol",0.285714285714286,7,3,"ka, 4a, kol",5.83837764687003,20.5678117983783,"A, B, C, D"
160,"zebra","Catalan","zebra","ˈze.βɾə","""ze.B4@",0.6,5,2,"ze, B4@",6.13042549095604,12.8673423915067,"A, B, C, D"
